,Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
0,10,X254,I.S. 254 - BRONX,SCA CIP,FACADE/ROOFS,Construction,In-Progress,7/7/16,3/28/18,,4050000,4229193,3791127,"DSF: 0000821031, 0000822210"
1,10,X254,I.S. 254 - BRONX,SCA CIP,FACADE/ROOFS,"CM, F&E",In-Progress,7/7/16,3/28/18,,252000,489326,485620,"DSF: 0000821031, 0000822210"
2,10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,Complete,7/27/17,11/27/17,8/3/17,0,1792,1792,DSF: 0000823560
3,10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,In-Progress,8/4/17,2/5/18,,19110,17318,7169,DSF: 0000823560
4,10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,280280,280280,951,DSF: 0000823560
5,10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"CM, F&E",PNS,PNS,PNS,PNS,69238,52551,2423,DSF: 0000823560
6,10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/15/17,1/15/18,9/14/17,50000,49625,49625,DSF: 0000844624
7,10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/15/17,1/15/18,9/14/17,76250,75677,75677,DSF: 0000845571
8,10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,Complete,8/2/16,12/19/16,2/13/17,36881,57074,56288,"DSF: 0000820035, 0000866151"
9,10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,Complete,5/15/17,10/16/17,12/18/17,141246,183396,180358,"DSF: 0000820035, 0000866151"
10,10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Construction,PNS,PNS,PNS,PNS,2085039,2085039,1718,"DSF: 0000820035, 0000866151"
11,10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,"CM, F&E",PNS,PNS,PNS,PNS,253705,253705,7119,"DSF: 0000820035, 0000866151"
12,10,X279,P.S. 279 - BRONX,DOE- RESOA,FY15 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,435000,435000,0,DSF: 0000800475
13,10,X283,I.S. 228 - BRONX,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,3/13/17,F&E,11/13/17,62000,62000,61974,DSF: 0000845399
14,10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,50000,50000,0,DSF: 0000866453
15,10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,150000,150000,0,DSF: 0000866453
16,10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,500000,500000,0,DSF: 0000866453
17,10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,F&E,PNS,PNS,PNS,PNS,135000,135000,0,DSF: 0000866453
18,10,X340,P.S. 340 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/1/17,1/15/18,7/27/17,50000,49621,49621,DSF: 0000845054
19,10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,In-Progress,8/7/17,2/26/18,,1294751,1294751,161755,DSF: 0000798177
20,10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Design,PNS,PNS,PNS,PNS,4143204,4143204,47882,DSF: 0000798177
21,10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,58108434,58108434,9977,DSF: 0000798177
22,10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,8182828,8182828,30676,DSF: 0000798177
23,10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866428
24,10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,7500,7500,0,DSF: 0000866428
25,10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,110000,110000,0,DSF: 0000866428
26,10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,7500,7500,0,DSF: 0000866428
27,10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Scope,Complete,5/13/14,9/26/14,9/10/14,8017,23855,23855,DSF: 0000799913
28,10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Design,Complete,10/15/14,3/20/15,4/28/15,29395,80349,64886,DSF: 0000799913
29,10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Construction,In-Progress,6/2/17,2/26/18,,311317,272329,104,DSF: 0000799913
30,10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,"CM, F&E",In-Progress,6/2/17,2/26/18,,72151,36406,20060,DSF: 0000799913
